chromosome	source	feature	start	end	length	multiplicity	multovl.union.gff	multovl.strict.gff	sum	code	id
chr14	multovl	overlap	57193553	57195205	1653	2	1	1	2	XX	chr14_57193553_57195205
chr14	multovl	overlap	57286108	57288860	2753	2	1	1	2	XX	chr14_57286108_57288860
chr14	multovl	overlap	57395290	57397871	2582	2	1	1	2	XX	chr14_57395290_57397871
chr14	multovl	overlap	57428894	57430251	1358	2	1	1	2	XX	chr14_57428894_57430251
chr14	multovl	overlap	57431324	57432291	968	2	1	1	2	XX	chr14_57431324_57432291
chr14	multovl	overlap	57505588	57507703	2116	2	1	1	2	XX	chr14_57505588_57507703
chr14	multovl	overlap	58016919	58017490	572	2	1	1	2	XX	chr14_58016919_58017490
chr14	multovl	overlap	58041962	58043833	1872	2	1	1	2	XX	chr14_58041962_58043833
chr14	multovl	overlap	58189391	58191226	1836	2	1	1	2	XX	chr14_58189391_58191226
chr14	multovl	overlap	58282585	58285110	2526	2	1	1	2	XX	chr14_58282585_58285110
chr14	multovl	overlap	58362636	58364758	2123	2	1	1	2	XX	chr14_58362636_58364758
chr14	multovl	overlap	58364776	58366024	1249	2	1	1	2	XX	chr14_58364776_58366024
chr14	multovl	overlap	58416356	58419359	3004	2	1	1	2	XX	chr14_58416356_58419359
chr14	multovl	overlap	58444221	58446254	2034	2	1	1	2	XX	chr14_58444221_58446254
chr14	multovl	overlap	58507621	58509481	1861	2	1	1	2	XX	chr14_58507621_58509481
chr14	multovl	overlap	58617135	58619326	2192	2	1	1	2	XX	chr14_58617135_58619326
chr14	multovl	overlap	59819267	59822025	2759	2	1	1	2	XX	chr14_59819267_59822025
chr14	multovl	overlap	60058575	60060882	2308	2	1	1	2	XX	chr14_60058575_60060882
chr14	multovl	overlap	60215693	60217731	2039	2	1	1	2	XX	chr14_60215693_60217731
chr14	multovl	overlap	60868760	60871434	2675	2	1	1	2	XX	chr14_60868760_60871434
chr14	multovl	overlap	60883933	60885274	1342	2	1	1	2	XX	chr14_60883933_60885274
chr14	multovl	overlap	61403255	61404442	1188	2	1	1	2	XX	chr14_61403255_61404442
chr14	multovl	overlap	61791608	61793100	1493	2	1	1	2	XX	chr14_61791608_61793100
chr14	multovl	overlap	61978526	61980031	1506	2	1	1	2	XX	chr14_61978526_61980031
chr14	multovl	overlap	62057189	62058554	1366	2	1	1	2	XX	chr14_62057189_62058554
chr14	multovl	overlap	62059008	62059733	726	2	1	1	2	XX	chr14_62059008_62059733
chr14	multovl	overlap	62174714	62176451	1738	2	1	1	2	XX	chr14_62174714_62176451
chr14	multovl	overlap	62218030	62219165	1136	2	1	1	2	XX	chr14_62218030_62219165
chr14	multovl	overlap	62265896	62268765	2870	2	1	1	2	XX	chr14_62265896_62268765
chr14	multovl	overlap	62298983	62302425	3443	2	1	1	2	XX	chr14_62298983_62302425
chr14	multovl	overlap	62950227	62952008	1782	2	1	1	2	XX	chr14_62950227_62952008
chr14	multovl	overlap	63378009	63380028	2020	2	1	1	2	XX	chr14_63378009_63380028
chr14	multovl	overlap	63380233	63381517	1285	2	1	1	2	XX	chr14_63380233_63381517
chr14	multovl	overlap	63456440	63457837	1398	2	1	1	2	XX	chr14_63456440_63457837
chr14	multovl	overlap	63740972	63743608	2637	2	1	1	2	XX	chr14_63740972_63743608
chr14	multovl	overlap	63793772	63797759	3988	2	1	2	3	XX	chr14_63793772_63797759
chr14	multovl	overlap	63862791	63864780	1990	2	1	1	2	XX	chr14_63862791_63864780
chr14	multovl	overlap	64161633	64163570	1938	2	1	1	2	XX	chr14_64161633_64163570
chr14	multovl	overlap	64224537	64225256	720	2	1	1	2	XX	chr14_64224537_64225256
chr14	multovl	overlap	64225292	64227958	2667	2	1	1	2	XX	chr14_64225292_64227958
chr14	multovl	overlap	64478258	64480216	1959	2	1	1	2	XX	chr14_64478258_64480216
chr14	multovl	overlap	65058775	65060485	1711	2	1	1	2	XX	chr14_65058775_65060485
chr14	multovl	overlap	65271054	65272528	1475	2	1	1	2	XX	chr14_65271054_65272528
chr14	multovl	overlap	65567114	65570086	2973	2	1	1	2	XX	chr14_65567114_65570086
chr14	multovl	overlap	65715320	65717654	2335	2	1	1	2	XX	chr14_65715320_65717654
chr14	multovl	overlap	65767858	65769035	1178	2	1	1	2	XX	chr14_65767858_65769035
chr14	multovl	overlap	65880008	65882000	1993	2	1	1	2	XX	chr14_65880008_65882000
chr14	multovl	overlap	65961899	65962672	774	2	1	1	2	XX	chr14_65961899_65962672
chr14	multovl	overlap	65962803	65963636	834	2	1	1	2	XX	chr14_65962803_65963636
chr14	multovl	overlap	65977378	65978933	1556	2	1	1	2	XX	chr14_65977378_65978933
chr14	multovl	overlap	66211042	66212588	1547	2	1	1	2	XX	chr14_66211042_66212588
chr14	multovl	overlap	66424265	66425464	1200	2	1	1	2	XX	chr14_66424265_66425464
chr14	multovl	overlap	66451834	66452934	1101	2	1	1	2	XX	chr14_66451834_66452934
chr14	multovl	overlap	66455647	66457623	1977	2	1	1	2	XX	chr14_66455647_66457623
chr14	multovl	overlap	66571545	66572514	970	2	1	1	2	XX	chr14_66571545_66572514
chr14	multovl	overlap	66914856	66918437	3582	2	1	1	2	XX	chr14_66914856_66918437
chr14	multovl	overlap	67485004	67487644	2641	2	1	1	2	XX	chr14_67485004_67487644
chr14	multovl	overlap	67487786	67488864	1079	2	1	1	2	XX	chr14_67487786_67488864
chr14	multovl	overlap	67626037	67627758	1722	2	1	1	2	XX	chr14_67626037_67627758
chr14	multovl	overlap	67688667	67691679	3013	2	1	1	2	XX	chr14_67688667_67691679
chr14	multovl	overlap	67806982	67808340	1359	2	1	1	2	XX	chr14_67806982_67808340
chr14	multovl	overlap	67852745	67854157	1413	2	1	1	2	XX	chr14_67852745_67854157
chr14	multovl	overlap	68332471	68333962	1492	2	1	1	2	XX	chr14_68332471_68333962
chr14	multovl	overlap	68334162	68335850	1689	2	1	1	2	XX	chr14_68334162_68335850
chr14	multovl	overlap	68550365	68552495	2131	2	1	2	3	XX	chr14_68550365_68552495
chr14	multovl	overlap	69647137	69648701	1565	2	1	1	2	XX	chr14_69647137_69648701
chr14	multovl	overlap	69900395	69903288	2894	2	1	1	2	XX	chr14_69900395_69903288
chr14	multovl	overlap	69954512	69956122	1611	2	1	1	2	XX	chr14_69954512_69956122
chr14	multovl	overlap	70106203	70107766	1564	2	1	1	2	XX	chr14_70106203_70107766
chr14	multovl	overlap	70131212	70133794	2583	2	1	1	2	XX	chr14_70131212_70133794
chr14	multovl	overlap	70166691	70168479	1789	2	1	1	2	XX	chr14_70166691_70168479
chr14	multovl	overlap	70203737	70205390	1654	2	1	1	2	XX	chr14_70203737_70205390
chr14	multovl	overlap	70474708	70476759	2052	2	1	2	3	XX	chr14_70474708_70476759
chr14	multovl	overlap	70476946	70477884	939	2	1	1	2	XX	chr14_70476946_70477884
chr14	multovl	overlap	70499151	70501248	2098	2	1	1	2	XX	chr14_70499151_70501248
chr14	multovl	overlap	70552316	70553841	1526	2	1	1	2	XX	chr14_70552316_70553841
chr14	multovl	overlap	70557565	70559978	2414	2	1	1	2	XX	chr14_70557565_70559978
chr14	multovl	overlap	70565628	70567807	2180	2	1	1	2	XX	chr14_70565628_70567807
chr14	multovl	overlap	70590385	70592846	2462	2	1	1	2	XX	chr14_70590385_70592846
chr14	multovl	overlap	70604114	70606690	2577	2	1	1	2	XX	chr14_70604114_70606690
chr14	multovl	overlap	70688335	70690155	1821	2	1	1	2	XX	chr14_70688335_70690155
chr14	multovl	overlap	70749682	70751647	1966	2	1	1	2	XX	chr14_70749682_70751647
chr14	multovl	overlap	70841607	70844195	2589	2	1	1	2	XX	chr14_70841607_70844195
chr14	multovl	overlap	70917569	70920889	3321	2	1	2	3	XX	chr14_70917569_70920889
chr14	multovl	overlap	70944764	70946460	1697	2	1	1	2	XX	chr14_70944764_70946460
chr14	multovl	overlap	70976904	70978650	1747	2	1	1	2	XX	chr14_70976904_70978650
chr14	multovl	overlap	70998490	71000302	1813	2	1	1	2	XX	chr14_70998490_71000302
chr14	multovl	overlap	71165101	71167877	2777	2	1	1	2	XX	chr14_71165101_71167877
chr14	multovl	overlap	71180477	71181539	1063	2	1	1	2	XX	chr14_71180477_71181539
chr14	multovl	overlap	71252484	71253428	945	2	1	1	2	XX	chr14_71252484_71253428
chr14	multovl	overlap	73000967	73003480	2514	2	1	2	3	XX	chr14_73000967_73003480
chr14	multovl	overlap	73108781	73110607	1827	2	1	1	2	XX	chr14_73108781_73110607
chr14	multovl	overlap	73382219	73383448	1230	2	1	1	2	XX	chr14_73382219_73383448
chr14	multovl	overlap	73542010	73544247	2238	2	1	1	2	XX	chr14_73542010_73544247
chr14	multovl	overlap	73637474	73639810	2337	2	1	1	2	XX	chr14_73637474_73639810
chr14	multovl	overlap	73724176	73725372	1197	2	1	1	2	XX	chr14_73724176_73725372
chr14	multovl	overlap	73781016	73781981	966	2	1	1	2	XX	chr14_73781016_73781981
chr14	multovl	overlap	73782708	73785450	2743	2	1	1	2	XX	chr14_73782708_73785450
chr14	multovl	overlap	73909465	73911088	1624	2	1	1	2	XX	chr14_73909465_73911088
chr14	multovl	overlap	73951906	73953947	2042	2	1	1	2	XX	chr14_73951906_73953947
chr14	multovl	overlap	75040324	75043386	3063	2	1	1	2	XX	chr14_75040324_75043386
chr14	multovl	overlap	75131524	75133875	2352	2	1	2	3	XX	chr14_75131524_75133875
chr14	multovl	overlap	75345869	75348247	2379	2	1	1	2	XX	chr14_75345869_75348247
chr14	multovl	overlap	75415539	75416785	1247	2	1	1	2	XX	chr14_75415539_75416785
chr14	multovl	overlap	75683326	75685670	2345	2	1	1	2	XX	chr14_75683326_75685670
chr14	multovl	overlap	76152385	76154423	2039	2	1	1	2	XX	chr14_76152385_76154423
chr14	multovl	overlap	76185698	76187599	1902	2	1	1	2	XX	chr14_76185698_76187599
chr14	multovl	overlap	76232650	76235486	2837	2	1	1	2	XX	chr14_76232650_76235486
chr14	multovl	overlap	76243858	76246265	2408	2	1	1	2	XX	chr14_76243858_76246265
chr14	multovl	overlap	76246273	76247175	903	2	1	1	2	XX	chr14_76246273_76247175
chr14	multovl	overlap	76409115	76411119	2005	2	1	1	2	XX	chr14_76409115_76411119
chr14	multovl	overlap	76509322	76511990	2669	2	1	1	2	XX	chr14_76509322_76511990
chr14	multovl	overlap	76549090	76549903	814	2	1	1	2	XX	chr14_76549090_76549903
chr14	multovl	overlap	76551534	76553461	1928	2	1	1	2	XX	chr14_76551534_76553461
chr14	multovl	overlap	76813500	76815244	1745	2	1	1	2	XX	chr14_76813500_76815244
chr14	multovl	overlap	76815265	76816663	1399	2	1	1	2	XX	chr14_76815265_76816663
chr14	multovl	overlap	76904012	76906914	2903	2	1	2	3	XX	chr14_76904012_76906914
chr14	multovl	overlap	76955324	76956184	861	2	1	1	2	XX	chr14_76955324_76956184
chr14	multovl	overlap	77435527	77437735	2209	2	1	1	2	XX	chr14_77435527_77437735
chr14	multovl	overlap	78273719	78275382	1664	2	1	1	2	XX	chr14_78273719_78275382
chr14	multovl	overlap	78935207	78937566	2360	2	1	1	2	XX	chr14_78935207_78937566
chr14	multovl	overlap	79124128	79125557	1430	2	1	1	2	XX	chr14_79124128_79125557
chr14	multovl	overlap	79247970	79249981	2012	2	1	1	2	XX	chr14_79247970_79249981
chr14	multovl	overlap	79788529	79790843	2315	2	1	1	2	XX	chr14_79788529_79790843
chr14	multovl	overlap	79797167	79798424	1258	2	1	1	2	XX	chr14_79797167_79798424
chr14	multovl	overlap	79879688	79883455	3768	2	1	2	3	XX	chr14_79879688_79883455
chr14	multovl	overlap	79886862	79887587	726	2	1	1	2	XX	chr14_79886862_79887587
chr14	multovl	overlap	79986249	79988661	2413	2	1	2	3	XX	chr14_79986249_79988661
chr14	multovl	overlap	87539710	87541374	1665	2	1	1	2	XX	chr14_87539710_87541374
chr14	multovl	overlap	87814944	87816678	1735	2	1	1	2	XX	chr14_87814944_87816678
chr14	multovl	overlap	87816907	87817962	1056	2	1	1	2	XX	chr14_87816907_87817962
chr14	multovl	overlap	99444011	99445383	1373	2	1	1	2	XX	chr14_99444011_99445383
chr14	multovl	overlap	99445459	99446830	1372	2	1	1	2	XX	chr14_99445459_99446830
chr14	multovl	overlap	99498104	99500122	2019	2	1	1	2	XX	chr14_99498104_99500122
chr14	multovl	overlap	99697091	99700360	3270	2	1	1	2	XX	chr14_99697091_99700360
chr14	multovl	overlap	100683297	100683998	702	2	1	1	2	XX	chr14_100683297_100683998
chr14	multovl	overlap	102006831	102008855	2025	2	1	1	2	XX	chr14_102006831_102008855
chr14	multovl	overlap	102038706	102040348	1643	2	1	1	2	XX	chr14_102038706_102040348
chr14	multovl	overlap	102052861	102054330	1470	2	1	1	2	XX	chr14_102052861_102054330
chr14	multovl	overlap	102128005	102129884	1880	2	1	1	2	XX	chr14_102128005_102129884
chr14	multovl	overlap	103468750	103470564	1815	2	1	1	2	XX	chr14_103468750_103470564
chr14	multovl	overlap	103496426	103499531	3106	2	1	3	4	XX	chr14_103496426_103499531
chr14	multovl	overlap	103743850	103746790	2941	2	1	1	2	XX	chr14_103743850_103746790
chr14	multovl	overlap	103868206	103869361	1156	2	1	1	2	XX	chr14_103868206_103869361
chr14	multovl	overlap	104920391	104922667	2277	2	1	1	2	XX	chr14_104920391_104922667
chr14	multovl	overlap	105573877	105577332	3456	2	1	1	2	XX	chr14_105573877_105577332
chr14	multovl	overlap	105657705	105659413	1709	2	1	1	2	XX	chr14_105657705_105659413
chr14	multovl	overlap	105727759	105728416	658	2	1	1	2	XX	chr14_105727759_105728416
chr14	multovl	overlap	105987779	105990183	2405	2	1	1	2	XX	chr14_105987779_105990183
chr14	multovl	overlap	106131179	106132690	1512	2	1	1	2	XX	chr14_106131179_106132690
chr14	multovl	overlap	106291804	106296345	4542	2	1	1	2	XX	chr14_106291804_106296345
chr14	multovl	overlap	106297309	106298558	1250	2	1	1	2	XX	chr14_106297309_106298558
chr14	multovl	overlap	115441147	115442330	1184	2	1	1	2	XX	chr14_115441147_115442330
chr14	multovl	overlap	117324051	117327830	3780	2	1	1	2	XX	chr14_117324051_117327830
chr14	multovl	overlap	118487520	118489934	2415	2	1	1	2	XX	chr14_118487520_118489934
chr14	multovl	overlap	118530502	118532368	1867	2	1	1	2	XX	chr14_118530502_118532368
chr14	multovl	overlap	118535504	118537592	2089	2	1	2	3	XX	chr14_118535504_118537592
chr14	multovl	overlap	119034012	119035224	1213	2	1	1	2	XX	chr14_119034012_119035224
chr14	multovl	overlap	119104478	119106231	1754	2	1	1	2	XX	chr14_119104478_119106231
chr14	multovl	overlap	119323108	119324710	1603	2	1	1	2	XX	chr14_119323108_119324710
chr14	multovl	overlap	119336055	119336999	945	2	1	1	2	XX	chr14_119336055_119336999
chr14	multovl	overlap	119337099	119338914	1816	2	1	1	2	XX	chr14_119337099_119338914
chr14	multovl	overlap	119497545	119499508	1964	2	1	1	2	XX	chr14_119497545_119499508
chr14	multovl	overlap	120673827	120678787	4961	2	1	3	4	XX	chr14_120673827_120678787
chr14	multovl	overlap	120696814	120698335	1522	2	1	1	2	XX	chr14_120696814_120698335
chr14	multovl	overlap	120740723	120741997	1275	2	1	1	2	XX	chr14_120740723_120741997
chr14	multovl	overlap	120875670	120880209	4540	2	1	4	5	XX	chr14_120875670_120880209
chr14	multovl	overlap	121309226	121310237	1012	2	1	1	2	XX	chr14_121309226_121310237
chr14	multovl	overlap	121310561	121312543	1983	2	1	1	2	XX	chr14_121310561_121312543
chr14	multovl	overlap	121434864	121436769	1906	2	1	1	2	XX	chr14_121434864_121436769
chr14	multovl	overlap	121776249	121778422	2174	2	1	1	2	XX	chr14_121776249_121778422
chr14	multovl	overlap	121778580	121779528	949	2	1	1	2	XX	chr14_121778580_121779528
chr14	multovl	overlap	122195743	122197081	1339	2	1	1	2	XX	chr14_122195743_122197081
chr14	multovl	overlap	122197107	122198023	917	2	1	1	2	XX	chr14_122197107_122198023
chr14	multovl	overlap	122277087	122279081	1995	2	1	1	2	XX	chr14_122277087_122279081
chr14	multovl	overlap	122504268	122505275	1008	2	1	1	2	XX	chr14_122504268_122505275
chr14	multovl	overlap	122505282	122508563	3282	2	1	1	2	XX	chr14_122505282_122508563
chr14	multovl	overlap	122580571	122581703	1133	2	1	1	2	XX	chr14_122580571_122581703
chr14	multovl	overlap	122932650	122934534	1885	2	1	2	3	XX	chr14_122932650_122934534
chr14	multovl	overlap	123311105	123313053	1949	2	1	1	2	XX	chr14_123311105_123313053
chr14	multovl	overlap	123381090	123382504	1415	2	1	1	2	XX	chr14_123381090_123382504
chr14	multovl	overlap	123382598	123383378	781	2	1	1	2	XX	chr14_123382598_123383378
chr14	multovl	overlap	123600894	123602076	1183	2	1	1	2	XX	chr14_123600894_123602076
chr15	multovl	overlap	3220015	3221918	1904	2	1	1	2	XX	chr15_3220015_3221918
chr15	multovl	overlap	3306180	3307088	909	2	1	1	2	XX	chr15_3306180_3307088
chr15	multovl	overlap	3531089	3533774	2686	2	1	1	2	XX	chr15_3531089_3533774
chr15	multovl	overlap	3928467	3929896	1430	2	1	1	2	XX	chr15_3928467_3929896
chr15	multovl	overlap	3943965	3945878	1914	2	1	1	2	XX	chr15_3943965_3945878
chr15	multovl	overlap	3946015	3947005	991	2	1	1	2	XX	chr15_3946015_3947005
chr15	multovl	overlap	3975614	3978325	2712	2	1	1	2	XX	chr15_3975614_3978325
chr15	multovl	overlap	5064784	5068329	3546	2	1	2	3	XX	chr15_5064784_5068329
chr15	multovl	overlap	5092946	5095972	3027	2	1	1	2	XX	chr15_5092946_5095972
chr15	multovl	overlap	5134425	5137167	2743	2	1	1	2	XX	chr15_5134425_5137167
chr15	multovl	overlap	5189345	5195291	5947	2	1	1	2	XX	chr15_5189345_5195291
chr15	multovl	overlap	6335940	6338903	2964	2	1	1	2	XX	chr15_6335940_6338903
chr15	multovl	overlap	6514322	6515604	1283	2	1	1	2	XX	chr15_6514322_6515604
chr15	multovl	overlap	6575302	6576245	944	2	1	1	2	XX	chr15_6575302_6576245
chr15	multovl	overlap	6657222	6660146	2925	2	1	1	2	XX	chr15_6657222_6660146
chr15	multovl	overlap	6820985	6825369	4385	2	1	1	2	XX	chr15_6820985_6825369
chr15	multovl	overlap	7078470	7082780	4311	2	1	3	4	XX	chr15_7078470_7082780
chr15	multovl	overlap	7759174	7764790	5617	2	1	2	3	XX	chr15_7759174_7764790
chr15	multovl	overlap	7827347	7828344	998	2	1	1	2	XX	chr15_7827347_7828344
chr15	multovl	overlap	8048139	8049703	1565	2	1	1	2	XX	chr15_8048139_8049703
chr15	multovl	overlap	8058498	8060494	1997	2	1	1	2	XX	chr15_8058498_8060494
chr15	multovl	overlap	8118226	8120233	2008	2	1	1	2	XX	chr15_8118226_8120233
chr15	multovl	overlap	8391384	8397396	6013	2	1	1	2	XX	chr15_8391384_8397396
chr15	multovl	overlap	8804277	8805082	806	2	1	1	2	XX	chr15_8804277_8805082
chr15	multovl	overlap	8999791	9003305	3515	2	1	1	2	XX	chr15_8999791_9003305
chr15	multovl	overlap	9068357	9071544	3188	2	1	1	2	XX	chr15_9068357_9071544
chr15	multovl	overlap	10046335	10047115	781	2	1	1	2	XX	chr15_10046335_10047115
chr15	multovl	overlap	10398824	10401168	2345	2	1	2	3	XX	chr15_10398824_10401168
chr15	multovl	overlap	10413906	10416917	3012	2	1	1	2	XX	chr15_10413906_10416917
chr15	multovl	overlap	10620122	10621396	1275	2	1	1	2	XX	chr15_10620122_10621396
chr15	multovl	overlap	10641447	10645431	3985	2	1	1	2	XX	chr15_10641447_10645431
chr15	multovl	overlap	10910622	10912671	2050	2	1	1	2	XX	chr15_10910622_10912671
chr15	multovl	overlap	10993927	10995449	1523	2	1	1	2	XX	chr15_10993927_10995449
chr15	multovl	overlap	11327827	11330404	2578	2	1	1	2	XX	chr15_11327827_11330404
chr15	multovl	overlap	11833884	11837371	3488	2	1	2	3	XX	chr15_11833884_11837371
chr15	multovl	overlap	11923676	11926469	2794	2	1	1	2	XX	chr15_11923676_11926469
chr15	multovl	overlap	12046419	12049504	3086	2	1	1	2	XX	chr15_12046419_12049504
chr15	multovl	overlap	12133251	12136569	3319	2	1	3	4	XX	chr15_12133251_12136569
chr15	multovl	overlap	12250152	12253562	3411	2	1	1	2	XX	chr15_12250152_12253562
chr15	multovl	overlap	12753143	12755772	2630	2	1	1	2	XX	chr15_12753143_12755772
chr15	multovl	overlap	13173630	13174564	935	2	1	1	2	XX	chr15_13173630_13174564
chr15	multovl	overlap	13296922	13297876	955	2	1	1	2	XX	chr15_13296922_13297876
chr15	multovl	overlap	15019507	15020811	1305	2	1	1	2	XX	chr15_15019507_15020811
chr15	multovl	overlap	22965181	22967025	1845	2	1	1	2	XX	chr15_22965181_22967025
chr15	multovl	overlap	25340736	25344912	4177	2	1	2	3	XX	chr15_25340736_25344912
chr15	multovl	overlap	25551114	25552163	1050	2	1	1	2	XX	chr15_25551114_25552163
chr15	multovl	overlap	25552199	25556883	4685	2	1	2	3	XX	chr15_25552199_25556883
chr15	multovl	overlap	25913323	25916757	3435	2	1	1	2	XX	chr15_25913323_25916757
chr15	multovl	overlap	26824208	26826138	1931	2	1	1	2	XX	chr15_26824208_26826138
chr15	multovl	overlap	27334826	27336752	1927	2	1	1	2	XX	chr15_27334826_27336752
chr15	multovl	overlap	27395335	27398618	3284	2	1	2	3	XX	chr15_27395335_27398618
chr15	multovl	overlap	27558709	27561608	2900	2	1	1	2	XX	chr15_27558709_27561608
chr15	multovl	overlap	27715948	27718471	2524	2	1	1	2	XX	chr15_27715948_27718471
chr15	multovl	overlap	27866080	27867782	1703	2	1	1	2	XX	chr15_27866080_27867782
chr15	multovl	overlap	27953049	27955466	2418	2	1	1	2	XX	chr15_27953049_27955466
chr15	multovl	overlap	28087949	28089520	1572	2	1	1	2	XX	chr15_28087949_28089520
chr15	multovl	overlap	31116347	31117280	934	2	1	1	2	XX	chr15_31116347_31117280
chr15	multovl	overlap	31153329	31156324	2996	2	1	1	2	XX	chr15_31153329_31156324
chr15	multovl	overlap	31382381	31384141	1761	2	1	1	2	XX	chr15_31382381_31384141
chr15	multovl	overlap	31458627	31462300	3674	2	1	3	4	XX	chr15_31458627_31462300
chr15	multovl	overlap	31529267	31533161	3895	2	1	1	2	XX	chr15_31529267_31533161
chr15	multovl	overlap	32172910	32176716	3807	2	1	1	2	XX	chr15_32172910_32176716
chr15	multovl	overlap	32708320	32709253	934	2	1	1	2	XX	chr15_32708320_32709253
chr15	multovl	overlap	32850259	32853681	3423	2	1	1	2	XX	chr15_32850259_32853681
chr15	multovl	overlap	33012663	33014104	1442	2	1	1	2	XX	chr15_33012663_33014104
chr15	multovl	overlap	33014194	33014898	705	2	1	1	2	XX	chr15_33014194_33014898
chr15	multovl	overlap	34010746	34015286	4541	2	1	1	2	XX	chr15_34010746_34015286
chr15	multovl	overlap	34166897	34170266	3370	2	1	1	2	XX	chr15_34166897_34170266
chr15	multovl	overlap	34235752	34237577	1826	2	1	1	2	XX	chr15_34235752_34237577
chr15	multovl	overlap	34371218	34374538	3321	2	1	1	2	XX	chr15_34371218_34374538
chr15	multovl	overlap	34424073	34426094	2022	2	1	1	2	XX	chr15_34424073_34426094
chr15	multovl	overlap	35081852	35085787	3936	2	1	1	2	XX	chr15_35081852_35085787
chr15	multovl	overlap	35225386	35227385	2000	2	1	1	2	XX	chr15_35225386_35227385
chr15	multovl	overlap	35300226	35303079	2854	2	1	1	2	XX	chr15_35300226_35303079
chr15	multovl	overlap	35865848	35868346	2499	2	1	1	2	XX	chr15_35865848_35868346
chr15	multovl	overlap	36093854	36095015	1162	2	1	1	2	XX	chr15_36093854_36095015
chr15	multovl	overlap	36102784	36104634	1851	2	1	1	2	XX	chr15_36102784_36104634
chr15	multovl	overlap	36210172	36211335	1164	2	1	1	2	XX	chr15_36210172_36211335
chr15	multovl	overlap	36211336	36213786	2451	2	1	1	2	XX	chr15_36211336_36213786
chr15	multovl	overlap	36304150	36305844	1695	2	1	1	2	XX	chr15_36304150_36305844
chr15	multovl	overlap	36425381	36426907	1527	2	1	1	2	XX	chr15_36425381_36426907
chr15	multovl	overlap	36535993	36538884	2892	2	1	1	2	XX	chr15_36535993_36538884
chr15	multovl	overlap	36538954	36540215	1262	2	1	1	2	XX	chr15_36538954_36540215
chr15	multovl	overlap	36645037	36646420	1384	2	1	1	2	XX	chr15_36645037_36646420
chr15	multovl	overlap	36656651	36658042	1392	2	1	1	2	XX	chr15_36656651_36658042
chr15	multovl	overlap	36720727	36725016	4290	2	1	2	3	XX	chr15_36720727_36725016
chr15	multovl	overlap	36935076	36938518	3443	2	1	2	3	XX	chr15_36935076_36938518
chr15	multovl	overlap	37720968	37722092	1125	2	1	1	2	XX	chr15_37720968_37722092
chr15	multovl	overlap	37889576	37891810	2235	2	1	1	2	XX	chr15_37889576_37891810
chr15	multovl	overlap	38006400	38009992	3593	2	1	2	3	XX	chr15_38006400_38009992
chr15	multovl	overlap	38229101	38232099	2999	2	1	1	2	XX	chr15_38229101_38232099
chr15	multovl	overlap	38313454	38315405	1952	2	1	1	2	XX	chr15_38313454_38315405
chr15	multovl	overlap	38399458	38400490	1033	2	1	1	2	XX	chr15_38399458_38400490
chr15	multovl	overlap	38402870	38403819	950	2	1	1	2	XX	chr15_38402870_38403819
chr15	multovl	overlap	38446585	38450179	3595	2	1	1	2	XX	chr15_38446585_38450179
chr15	multovl	overlap	38590801	38594007	3207	2	1	1	2	XX	chr15_38590801_38594007
chr15	multovl	overlap	38638877	38640379	1503	2	1	1	2	XX	chr15_38638877_38640379
chr15	multovl	overlap	38943017	38945906	2890	2	1	1	2	XX	chr15_38943017_38945906
chr15	multovl	overlap	39063910	39065020	1111	2	1	1	2	XX	chr15_39063910_39065020
chr15	multovl	overlap	39773945	39776446	2502	2	1	1	2	XX	chr15_39773945_39776446
chr15	multovl	overlap	40485799	40488210	2412	2	1	1	2	XX	chr15_40485799_40488210
chr15	multovl	overlap	41278086	41280293	2208	2	1	1	2	XX	chr15_41278086_41280293
chr15	multovl	overlap	41558551	41559271	721	2	1	1	2	XX	chr15_41558551_41559271
chr15	multovl	overlap	41619281	41623586	4306	2	1	1	2	XX	chr15_41619281_41623586
chr15	multovl	overlap	42505607	42510119	4513	2	1	1	2	XX	chr15_42505607_42510119
chr15	multovl	overlap	43001548	43002692	1145	2	1	1	2	XX	chr15_43001548_43002692
chr15	multovl	overlap	43111839	43115041	3203	2	1	1	2	XX	chr15_43111839_43115041
chr15	multovl	overlap	43308402	43310006	1605	2	1	1	2	XX	chr15_43308402_43310006
chr15	multovl	overlap	44257876	44261031	3156	2	1	1	2	XX	chr15_44257876_44261031
chr15	multovl	overlap	44449724	44452823	3100	2	1	2	3	XX	chr15_44449724_44452823
chr15	multovl	overlap	45943847	45944423	577	2	1	1	2	XX	chr15_45943847_45944423
chr15	multovl	overlap	48613149	48613998	850	2	1	1	2	XX	chr15_48613149_48613998
chr15	multovl	overlap	48620750	48622631	1882	2	1	1	2	XX	chr15_48620750_48622631
chr15	multovl	overlap	48622807	48624225	1419	2	1	1	2	XX	chr15_48622807_48624225
chr15	multovl	overlap	50719436	50722075	2640	2	1	1	2	XX	chr15_50719436_50722075
chr15	multovl	overlap	51695104	51697376	2273	2	1	1	2	XX	chr15_51695104_51697376
chr15	multovl	overlap	51708295	51710171	1877	2	1	1	2	XX	chr15_51708295_51710171
chr15	multovl	overlap	51821467	51823141	1675	2	1	1	2	XX	chr15_51821467_51823141
chr15	multovl	overlap	51823363	51824150	788	2	1	1	2	XX	chr15_51823363_51824150
chr15	multovl	overlap	52543316	52545071	1756	2	1	1	2	XX	chr15_52543316_52545071
chr15	multovl	overlap	53054880	53056012	1133	2	1	1	2	XX	chr15_53054880_53056012
