chr	start	end	length	summit	tags	X.10.log10.pvalue	fold_enrichment	FDR	start+summit-150bp	start+summit+150bp
chr6	108778029	108779194	1166	632	39	222.31	19.21	3.08	108778511	108778811
chr6	84265080	84265803	724	295	36	222.12	26.19	3.07	84265225	84265525
chr9	33290326	33291047	722	327	37	222.06	24.44	3.07	33290503	33290803
chr2	167601894	167603712	1819	1052	74	221.99	19.1	3.06	167602796	167603096
chr17	29501938	29502902	965	589	51	221.81	15.14	3.06	29502377	29502677
chr15	95620650	95622252	1603	659	55	221.75	15.89	3.06	95621159	95621459
chr19	7008006	7009558	1553	1251	56	221.63	14.8	3.06	7009107	7009407
chr11	59698347	59699644	1298	589	55	221.57	22	3.05	59698786	59699086
chr6	57652523	57653707	1185	487	37	221.47	19.2	3.05	57652860	57653160
chr10	19653478	19654162	685	475	33	221.44	21.39	3.05	19653803	19654103
chr10	126415303	126416093	791	266	37	221.44	21.33	3.04	126415419	126415719
chr3	122432450	122433286	837	503	39	221.38	22.56	3.04	122432803	122433103
chr4	88940155	88941487	1333	352	40	221.22	21.8	3.04	88940357	88940657
chr6	99470315	99471750	1436	788	41	221.11	23.47	3.04	99470953	99471253
chr4	155405645	155406994	1350	422	57	221	13.75	3.03	155405917	155406217
chr12	99812914	99813700	787	429	36	220.79	21.15	3.03	99813193	99813493
chr15	74750808	74752242	1435	422	57	220.75	15.71	3.03	74751080	74751380
chr6	47785488	47786528	1041	113	38	220.71	19.21	3.02	47785451	47785751
chr17	87786228	87786804	577	292	36	220.63	25.82	3.02	87786370	87786670
chr11	115640254	115640847	594	394	34	220.61	22	3.02	115640498	115640798
chr11	95122261	95123253	993	391	51	220.56	12.22	3.11	95122502	95122802
chr13	51746686	51747462	777	302	38	220.55	18.33	3.11	51746838	51747138
chr10	41995812	41998328	2517	516	91	220.47	9.53	3.1	41996178	41996478
chr19	54018066	54018998	933	571	38	220.45	19.07	3.1	54018487	54018787
chr11	69223178	69225070	1893	819	65	220.31	9.43	3.1	69223847	69224147
chr17	74737848	74738545	698	387	32	220.18	20	3.18	74738085	74738385
chr8	75877405	75877970	566	329	30	220.01	22.32	3.18	75877584	75877884
chr13	3536743	3538188	1446	1146	51	220	14.15	3.18	3537739	3538039
chr5	145992207	145993320	1114	493	49	219.97	12.88	3.18	145992550	145992850
chr11	99247197	99248091	895	135	37	219.93	23.91	3.17	99247182	99247482
chr16	4997567	4998211	645	324	31	219.89	25	3.17	4997741	4998041
chr2	32023116	32023802	687	469	36	219.75	19.55	3.17	32023435	32023735
chr4	132894900	132895628	729	248	31	219.66	20.68	3.16	132894998	132895298
chr6	49023645	49024158	514	185	32	219.64	24.44	3.16	49023680	49023980
chr19	59419392	59420246	855	272	34	219.57	19.21	3.16	59419514	59419814
chr4	120689401	120690176	776	473	33	219.48	30.7	3.16	120689724	120690024
chr19	7015555	7017317	1763	1402	71	219.45	11.41	3.15	7016807	7017107
chr10	80084541	80085664	1124	242	53	219.41	12.83	3.15	80084633	80084933
chr7	87170506	87172521	2016	1044	60	219.4	14.94	3.15	87171400	87171700
chr7	87288713	87289424	712	317	37	219.31	17.74	3.14	87288880	87289180
chrX	75828707	75829606	900	595	33	219.25	29.87	3.14	75829152	75829452
chr7	134919815	134921167	1353	1023	48	219.18	17.02	3.14	134920688	134920988
chr1	166205453	166206084	632	229	39	219.14	25.95	3.13	166205532	166205832
chr15	59545963	59546763	801	295	39	219.14	23.49	3.13	59546108	59546408
chr4	134409468	134410411	944	478	39	219.14	18	3.13	134409796	134410096
chr9	114299110	114300192	1083	707	39	219.14	17.47	3.13	114299667	114299967
chr14	56254032	56254798	767	496	36	219.07	23.08	3.12	56254378	56254678
chr5	141671635	141672975	1341	777	52	218.89	12.57	3.12	141672262	141672562
chr1	35884049	35884816	768	386	34	218.87	31.2	3.12	35884285	35884585
chr17	41071262	41071820	559	242	33	218.79	26.89	3.12	41071354	41071654
chr5	76569153	76570033	881	489	34	218.77	26.83	3.11	76569492	76569792
chr1	133034598	133035599	1002	382	46	218.75	25.51	3.11	133034830	133035130
chr10	128184574	128185927	1354	955	51	218.61	14.89	3.11	128185379	128185679
chr2	35696387	35697656	1270	856	55	218.53	17.42	3.11	35697093	35697393
chr12	33638560	33639813	1254	898	44	218.37	22	3.1	33639308	33639608
chr19	37000092	37001145	1054	337	35	218.37	17.07	3.1	37000279	37000579
chr19	9002794	9004689	1896	1091	51	218.33	12.22	3.1	9003735	9004035
chr10	110446690	110447757	1068	459	36	218.26	22.56	3.09	110446999	110447299
chr5	88993695	88994675	981	251	33	218.09	21.33	3.09	88993796	88994096
chr18	69574870	69575699	830	456	35	217.93	28.08	3.09	69575176	69575476
chr18	75502043	75503278	1236	924	47	217.78	14.91	3.09	75502817	75503117
chr2	83484372	83484993	622	237	30	217.75	33.84	3.08	83484459	83484759
chrX	12338639	12339708	1070	721	40	217.69	16.13	3.08	12339210	12339510
chr17	34986453	34987685	1233	848	46	217.62	18.92	3.08	34987151	34987451
chr2	28695083	28696474	1392	1105	49	217.6	11	3.08	28696038	28696338
chr1	93112982	93113907	926	359	48	217.51	18.67	3.07	93113191	93113491
chr10	88915747	88916924	1178	243	49	217.51	15.12	3.07	88915840	88916140
chr15	99304332	99305484	1153	333	48	217.51	17.97	3.07	99304515	99304815
chr15	25551924	25553353	1430	749	49	217.33	11.78	3.06	25552523	25552823
chr12	106789572	106790470	899	551	38	217.3	16.6	3.06	106789973	106790273
chr2	84803802	84804602	801	363	48	217.29	14.67	3.06	84804015	84804315
chr17	27772009	27772439	431	249	27	217.25	33.17	3.06	27772108	27772408
chr5	147888877	147889716	840	211	37	217.07	26.4	3.05	147888938	147889238
chr5	143942197	143942806	610	289	29	217.05	33	3.05	143942336	143942636
chr19	7341518	7342802	1285	894	47	217.03	19.3	3.05	7342262	7342562
chr18	46685263	46686217	955	657	37	217.01	23.33	3.05	46685770	46686070
chr8	85913409	85914500	1092	346	43	217	16.01	3.04	85913605	85913905
chr1	10222165	10223519	1355	638	43	216.8	17.46	3.04	10222653	10222953
chr9	107884757	107886288	1532	1162	87	216.77	14.21	3.04	107885769	107886069
chr2	29932870	29933582	713	333	37	216.76	20.95	3.04	29933053	29933353
chrX	166418837	166420194	1358	1172	69	216.7	9.56	3.03	166419859	166420159
chr1	167390445	167391809	1365	226	46	216.64	11.44	3.03	167390521	167390821
chr1	162964315	162965461	1147	652	40	216.51	14.04	3.03	162964817	162965117
chr16	58501953	58502701	749	380	40	216.46	19.35	3.03	58502183	58502483
chr2	144194248	144195207	960	653	36	216.26	21.67	3.02	144194751	144195051
chr1	75138935	75139748	814	313	33	216.24	27.93	3.02	75139098	75139398
chr18	70727644	70728859	1216	385	42	216.13	15.6	3.02	70727879	70728179
chr2	132705022	132705865	844	532	38	215.86	20.58	3.01	132705404	132705704
chr5	108561138	108562283	1146	461	52	215.79	14.67	3.01	108561449	108561749
chr9	96918407	96919872	1466	1025	46	215.75	15.28	3.01	96919282	96919582
chr19	9097534	9098205	672	287	42	215.72	17.11	3.01	9097671	9097971
chr16	32877359	32878259	901	516	35	215.68	21.67	3	32877725	32878025
chr13	63629262	63630064	803	559	38	215.64	25.67	3	63629671	63629971
chr2	48804495	48805279	785	354	30	215.61	36.27	3	48804699	48804999
chr10	17774909	17775970	1062	414	41	215.59	17.65	3	17775173	17775473
chr2	169956011	169957243	1233	980	41	215.53	18.33	2.99	169956841	169957141
chr12	103881323	103882150	828	460	53	215.49	15.28	2.99	103881633	103881933
chr3	104855525	104856365	841	202	34	215.48	16.67	2.99	104855577	104855877
chr13	99695686	99696757	1072	511	38	215.46	16.3	2.99	99696047	99696347
chr10	75817371	75818190	820	507	42	215.44	15.71	2.98	75817728	75818028
chr5	23293217	23294181	965	508	38	215.42	19.07	2.98	23293575	23293875
chr19	24973841	24975196	1356	133	46	215.41	14.1	2.98	24973824	24974124
chr11	69808709	69809665	957	326	41	215.39	25.67	2.97	69808885	69809185
chr2	69560684	69561789	1106	596	47	215.39	11.52	2.98	69561130	69561430
chr11	53520042	53521161	1120	787	45	215.28	18.33	2.97	53520679	53520979
chr13	41700763	41701397	635	352	29	215.27	20.68	2.97	41700965	41701265
chr1	43990224	43991537	1314	308	52	215.18	15.71	2.97	43990382	43990682
chr6	39156001	39157494	1494	576	42	215.09	14.93	2.96	39156427	39156727
chr8	108159600	108160828	1229	459	48	215.04	13.33	2.96	108159909	108160209
chr1	55144217	55145367	1151	231	42	215.03	17.6	2.96	55144298	55144598
chr11	101813372	101814529	1158	877	48	215.02	19.7	2.96	101814099	101814399
chr7	139904710	139905860	1151	662	53	214.98	12.83	2.95	139905222	139905522
chr6	52427345	52427877	533	337	32	214.93	22	2.95	52427532	52427832
chr17	27957163	27958037	875	550	38	214.89	28.2	2.95	27957563	27957863
chr2	26371001	26372376	1376	775	49	214.89	12.43	2.95	26371626	26371926
chr15	10643763	10644923	1161	783	36	214.76	21.33	2.94	10644396	10644696
chr17	29476705	29478048	1344	910	56	214.68	15.58	2.94	29477465	29477765
chr2	130493167	130493790	624	322	36	214.65	24.06	2.94	130493339	130493639
chr1	55083906	55084626	721	504	33	214.62	24.44	2.94	55084260	55084560
chr8	47636779	47637538	760	370	37	214.57	20.78	2.93	47636999	47637299
chr1	191552445	191553850	1406	130	46	214.56	16.8	2.93	191552425	191552725
chr17	27176936	27177958	1023	368	44	214.49	13.33	2.93	27177154	27177454
chr13	49282544	49284604	2061	128	64	214.48	9.46	2.93	49282522	49282822
chr15	102208071	102208712	642	299	43	214.4	22	2.92	102208220	102208520
chr9	110235462	110236193	732	278	34	214.28	24.44	2.92	110235590	110235890
chr18	35721386	35722829	1444	392	48	214.14	16.3	2.92	35721628	35721928
chr7	82599914	82601008	1095	271	41	214.11	14.67	2.92	82600035	82600335
chr13	17896699	17897462	764	575	43	214.02	17.42	2.91	17897124	17897424
chr4	46662731	46663823	1093	376	44	213.88	17.74	2.91	46662957	46663257
chr16	84834863	84836109	1247	396	39	213.78	21.67	2.91	84835109	84835409
chr10	110601525	110602946	1422	366	50	213.74	13.44	2.91	110601741	110602041
chr8	120018532	120019496	965	420	52	213.66	17.6	2.9	120018802	120019102
chr15	36538663	36539556	894	522	39	213.61	20.23	2.9	36539035	36539335
chr17	35118430	35119339	910	381	39	213.56	25.73	2.9	35118661	35118961
chr1	166501737	166502854	1118	820	49	213.5	20.95	2.9	166502407	166502707
chr11	72990034	72991643	1610	507	54	213.46	14.67	2.89	72990391	72990691
chr15	98764070	98765259	1190	309	46	213.29	23.22	2.89	98764229	98764529
chr4	123581833	123582695	863	360	36	213.22	20.53	2.89	123582043	123582343
chr19	23347824	23348571	748	544	32	213.2	25.67	2.89	23348218	23348518
chr2	153171113	153172689	1577	1294	51	213.1	21.15	2.89	153172257	153172557
chr3	122686865	122687927	1063	446	36	213.07	27.02	2.88	122687161	122687461
chr5	124625088	124625588	501	350	32	212.86	25.72	2.88	124625288	124625588
chr10	57909195	57910028	834	382	31	212.76	36.66	2.88	57909427	57909727
chr2	119583371	119585349	1979	249	57	212.48	12.94	2.88	119583470	119583770
chrX	11656290	11657721	1432	1319	41	212.47	17.07	2.87	11657459	11657759
chr11	102293191	102294524	1334	324	52	212.37	12.57	2.87	102293365	102293665
chr6	79767991	79768433	443	231	94	212.34	7.84	2.87	79768072	79768372
chr5	123464557	123465532	976	312	41	212.29	17.11	2.87	123464719	123465019
chr19	57418073	57419062	990	486	54	212.23	16.6	2.86	57418409	57418709
chr14	32350250	32351179	930	560	43	212.21	15.71	2.86	32350660	32350960
chr14	47441477	47442229	753	417	35	212.15	16.3	2.86	47441744	47442044
chr1	37486348	37487378	1031	611	43	212.09	14.67	2.86	37486809	37487109
chr16	21422841	21423607	767	422	34	212.05	28.69	2.85	21423113	21423413
chr15	101092866	101093376	511	194	32	212.02	21.77	2.85	101092910	101093210
chr1	55187709	55188872	1164	236	44	212	19.64	2.85	55187795	55188095
chr13	21454354	21454826	473	344	25	212	40.74	2.85	21454548	21454848
chr4	138866050	138867156	1107	924	42	211.99	15.22	2.85	138866824	138867124
chr19	34266396	34267538	1143	767	45	211.89	14.67	2.84	34267013	34267313
chr4	57687906	57688820	915	506	38	211.89	19.01	2.84	57688262	57688562
chr12	112775663	112776672	1010	666	33	211.8	18.86	2.84	112776179	112776479
chr13	54477090	54477962	873	576	42	211.77	18.59	2.84	54477516	54477816
chr11	98219666	98220526	861	283	39	211.67	19.23	2.83	98219799	98220099
chr4	129012231	129013699	1469	506	53	211.66	19.15	2.83	129012587	129012887
chr7	53178008	53178847	840	420	51	211.66	17.11	2.83	53178278	53178578
chr2	29220413	29221117	705	484	34	211.61	17.65	2.83	29220747	29221047
chr4	137771879	137773400	1522	1153	50	211.54	19.74	2.82	137772882	137773182
chr2	31829648	31830385	738	224	33	211.52	22.92	2.82	31829722	31830022
chr5	123831698	123832559	862	388	39	211.49	16.83	2.82	123831936	123832236
chr19	3851215	3852658	1444	108	48	211.4	14.67	2.82	3851173	3851473
chr12	102267114	102267831	718	200	36	211.25	14.15	2.82	102267164	102267464
chr5	100407027	100408280	1254	881	40	211.25	17.46	2.81	100407758	100408058
chr4	132312689	132313325	637	369	34	211.08	20.78	2.81	132312908	132313208
chr19	7456606	7457769	1164	514	40	210.98	16.8	2.81	7456970	7457270
chr13	51941774	51943764	1991	1540	64	210.87	11.23	2.81	51943164	51943464
chr14	26335957	26337487	1531	956	62	210.87	19.86	2.8	26336763	26337063
chr13	43959620	43960593	974	531	42	210.86	17.19	2.8	43960001	43960301
chr9	101153257	101154396	1140	341	36	210.86	20.37	2.8	101153448	101153748
chr15	68089742	68090874	1133	772	45	210.68	21.49	2.8	68090364	68090664
chr2	158498436	158499081	646	281	36	210.68	22.65	2.8	158498567	158498867
chr13	67033521	67034738	1218	470	43	210.54	13.58	2.79	67033841	67034141
chr14	31527898	31529338	1441	1136	46	210.48	13.75	2.79	31528884	31529184
chr19	10663383	10663932	550	303	36	210.45	24.75	2.79	10663536	10663836
chr8	119001855	119002344	490	214	28	210.44	30.55	2.79	119001919	119002219
chr17	29441214	29442441	1228	289	54	210.29	22	2.78	29441353	29441653
chr9	21048339	21049597	1259	303	45	210.29	12	2.78	21048492	21048792
chr19	60831498	60832823	1326	345	40	210.18	18.33	2.78	60831693	60831993
chr12	106922701	106923921	1221	502	42	210.17	14.35	2.78	106923053	106923353
chr11	54511014	54511639	626	289	38	210.14	23.87	2.78	54511153	54511453
chr14	19102988	19103919	932	623	39	210.14	15.04	2.77	19103461	19103761
chr18	53309070	53309833	764	381	38	210.14	25.77	2.77	53309301	53309601
chr19	8945720	8946411	692	250	32	210.02	27.5	2.77	8945820	8946120
chr3	82161821	82162654	834	239	38	210.02	22	2.77	82161910	82162210
chr2	164347129	164348033	905	335	37	209.99	19.74	2.76	164347314	164347614
chr6	39369753	39370716	964	215	34	209.88	18.33	2.76	39369818	39370118
chr17	27759836	27760711	876	597	33	209.74	19.3	2.76	27760283	27760583
chr2	164266546	164267311	766	322	47	209.66	18.96	2.76	164266718	164267018
chr3	88717325	88718289	965	589	39	209.6	19.74	2.76	88717764	88718064
chr14	115439339	115440463	1125	287	35	209.5	19.2	2.75	115439476	115439776
chr6	127099625	127101420	1796	1437	64	209.43	10.08	2.75	127100912	127101212
chr8	125222815	125223570	756	394	47	209.37	17.29	2.75	125223059	125223359
chr9	119231128	119232483	1356	1011	52	209.34	15.71	2.75	119231989	119232289
chr4	133443384	133444272	889	362	39	209.33	15.89	2.75	133443596	133443896
chr4	122525125	122525910	786	443	38	209.24	19.48	2.74	122525418	122525718
chr5	114282272	114282961	690	467	40	209.04	16.1	2.74	114282589	114282889
chr12	79327619	79328518	900	570	32	209	19.2	2.74	79328039	79328339
chr8	74968720	74969493	774	374	44	208.5	15.41	2.81	74968944	74969244
chr11	78815725	78817167	1443	393	63	208.48	13.6	2.81	78815968	78816268
chr2	92334298	92335043	746	391	41	208.47	23.7	2.81	92334539	92334839
chr5	112671168	112671851	684	386	41	208.47	22.57	2.81	112671404	112671704
chr2	65076015	65077644	1630	1225	47	208.28	17.05	2.81	65077090	65077390
chr4	132995483	132996871	1389	1036	57	208.22	15.58	2.8	132996369	132996669
chr6	108609775	108610616	842	344	32	208.22	34.83	2.8	108609969	108610269
chr7	6106882	6108195	1314	945	46	208.2	18.33	2.8	6107677	6107977
chr7	16898073	16899501	1429	128	50	208.19	12.43	2.8	16898051	16898351
chr1	121400579	121401847	1269	358	45	208.16	11.38	2.8	121400787	121401087
chr8	123112663	123113530	868	517	34	208.13	21.18	2.79	123113030	123113330
chr13	3610020	3610593	574	429	30	208.02	26.4	2.79	3610299	3610599
chr17	44569445	44570454	1010	498	47	207.93	15.58	2.79	44569793	44570093
chr12	107247877	107248720	844	544	32	207.92	23.83	2.79	107248271	107248571
chr1	57434024	57434913	890	339	34	207.79	26.66	2.78	57434213	57434513
chr11	22186256	22187583	1328	1219	40	207.71	16.3	2.78	22187325	22187625
chr8	73014394	73015547	1154	748	45	207.69	17.7	2.78	73014992	73015292
chr11	117732965	117734071	1107	446	53	207.65	21.18	2.78	117733261	117733561
chr17	71875834	71876891	1058	552	48	207.5	14.67	2.78	71876236	71876536
chr19	61024970	61025503	534	133	30	207.45	31.23	2.77	61024953	61025253
chr7	139507134	139509231	2098	253	62	207.41	9.31	2.77	139507237	139507537
chr8	26711739	26713581	1843	804	52	207.35	11.73	2.77	26712393	26712693
chr8	124868622	124870033	1412	1093	50	207.33	19.55	2.77	124869565	124869865
chr11	3023631	3024262	632	257	61	207.27	14.26	2.76	3023738	3024038
chr5	32438187	32439372	1186	939	42	207.21	17.25	2.76	32438976	32439276
chr2	127952775	127953875	1101	735	42	207.01	12.64	2.76	127953360	127953660
chr17	47737805	47739050	1246	971	52	206.96	11.88	2.76	47738626	47738926
chr10	61802354	61803690	1337	354	58	206.89	11.44	2.76	61802558	61802858
chr18	60685445	60686278	834	394	33	206.85	18.33	2.75	60685689	60685989
chr6	124881155	124882351	1197	360	42	206.68	12.22	2.75	124881365	124881665
chr2	94277388	94278492	1105	889	42	206.67	16.92	2.75	94278127	94278427
chr8	87183656	87184583	928	312	40	206.47	17.74	2.75	87183818	87184118
chr6	131303267	131304067	801	410	42	206.46	22	2.75	131303527	131303827
chr1	164500185	164501038	854	360	36	206.44	17.99	2.74	164500395	164500695
chr6	38954006	38954688	683	411	32	206.44	27.86	2.74	38954267	38954567
chr10	80760684	80761143	460	134	35	206.41	20.46	2.74	80760668	80760968
chr12	79849506	79850232	727	358	32	206.37	20.28	2.74	79849714	79850014
chr18	70689364	70690377	1014	650	42	206.3	17.11	2.74	70689864	70690164
chr12	56181168	56181944	777	345	29	206.26	25.6	2.73	56181363	56181663
chr10	94150825	94151932	1108	434	40	206.25	15.51	2.73	94151109	94151409
chrX	7418284	7419203	920	601	32	206.24	21.33	2.73	7418735	7419035
chr9	40608607	40609671	1065	250	46	206.01	15.71	2.73	40608707	40609007
chr1	130487264	130488359	1096	267	57	205.96	12	2.73	130487381	130487681
chr9	108551048	108552084	1037	706	43	205.92	24.84	2.72	108551604	108551904
chr11	71483275	71484296	1022	439	47	205.88	13.75	2.72	71483564	71483864
chr1	191551090	191552116	1027	902	34	205.86	16.3	2.72	191551842	191552142
chr13	108834339	108834960	622	340	31	205.84	21.57	2.72	108834529	108834829
chr16	25251830	25252341	512	187	32	205.75	20.11	2.71	25251867	25252167
chr10	127935579	127936132	554	277	32	205.69	24.84	2.71	127935706	127936006
chr19	53674476	53675146	671	359	29	205.66	18.33	2.71	53674685	53674985
chr12	21291521	21292441	921	511	38	205.55	19.64	2.71	21291882	21292182
chr12	92828141	92829045	905	242	35	205.53	20	2.71	92828233	92828533
chr2	157193031	157193843	813	343	34	205.47	25.44	2.7	157193224	157193524
chr9	13553265	13554234	970	332	35	205.43	18.33	2.7	13553447	13553747
chr11	24100075	24100884	810	247	37	205.33	17.11	2.7	24100172	24100472
chr4	45984985	45985872	888	202	34	205.05	13.04	2.7	45985037	45985337
chr19	46149920	46150782	863	514	38	204.97	17.11	2.7	46150284	46150584
chr1	21069347	21069995	649	332	28	204.95	23.16	2.69	21069529	21069829
chr11	117515323	117516237	915	721	36	204.93	16.13	2.69	117515894	117516194
chr11	44306854	44307596	743	398	34	204.92	20.43	2.68	44307102	44307402
chr17	66868167	66869292	1126	892	40	204.92	23.91	2.69	66868909	66869209
chr19	55630693	55631395	703	186	34	204.92	21.91	2.68	55630729	55631029
chr9	20440675	20441203	529	257	34	204.92	19.4	2.68	20440782	20441082
chr8	55864588	55865169	582	435	33	204.88	21.77	2.68	55864873	55865173
chr10	66399777	66400300	524	276	32	204.81	25.55	2.68	66399903	66400203
chr2	93997706	93998762	1057	799	40	204.81	18.33	2.68	93998355	93998655
chr1	52175861	52176770	910	411	34	204.78	16.67	2.68	52176122	52176422
chr16	31199957	31201748	1792	565	60	204.76	10.48	2.67	31200372	31200672
chr5	66544478	66545318	841	405	35	204.75	23.01	2.67	66544733	66545033
chr18	67883648	67884505	858	549	35	204.72	17.6	2.67	67884047	67884347
chr6	114987392	114988058	667	507	32	204.68	25.97	2.67	114987749	114988049
chr19	8963181	8963800	620	290	43	204.65	15.33	2.67	8963321	8963621
chr8	34842032	34842948	917	471	36	204.62	16.13	2.66	34842353	34842653
chr7	56752333	56753164	832	395	43	204.59	13.41	2.66	56752578	56752878
chr9	70834232	70835555	1324	410	50	204.57	12.41	2.66	70834492	70834792
chr17	46339198	46340427	1230	493	50	204.48	15.71	2.66	46339541	46339841
chr8	87509374	87510239	866	400	36	204.47	22.14	2.66	87509624	87509924
chr16	44347234	44348150	917	243	32	204.37	20.95	2.65	44347327	44347627
chr16	32608717	32609695	979	250	37	204.3	14.67	2.65	32608817	32609117
chr10	4521827	4523111	1285	946	50	204.25	13.62	2.65	4522623	4522923
chr14	59819644	59820550	907	394	37	204.22	13.58	2.65	59819888	59820188
chrX	53850853	53851509	657	345	36	204.19	23.05	2.65	53851048	53851348
chr10	42221474	42222575	1102	325	41	204.07	15.71	2.65	42221649	42221949
chr2	163820472	163821408	937	654	35	204.07	17.54	2.64	163820976	163821276
chr16	18194702	18195587	886	582	36	203.94	21.15	2.64	18195134	18195434
chr9	56995895	56996555	661	394	34	203.84	18.03	2.64	56996139	56996439
chr11	79152686	79153304	619	453	30	203.79	24.44	2.64	79152989	79153289
chr3	122969955	122971108	1154	422	38	203.67	16.5	2.64	122970227	122970527
chr11	11708491	11709480	990	179	46	203.62	11	2.63	11708520	11708820
chr4	34561822	34562442	621	343	31	203.6	26.79	2.63	34562015	34562315
chr7	4981699	4983499	1801	150	52	203.6	11.16	2.63	4981699	4981999
chr13	49243056	49243799	744	426	30	203.59	29.33	2.63	49243332	49243632
chrX	166428752	166431638	2887	2227	219	203.52	4.56	2.63	166430829	166431129
chr3	65332307	65333683	1377	1019	41	203.43	15.44	2.62	65333176	65333476
chr4	46142063	46142833	771	348	36	203.36	19.55	2.62	46142261	46142561
chr3	121129424	121130365	942	476	35	203.34	23.91	2.62	121129750	121130050
chr10	76880720	76881530	811	347	34	203.08	20.53	2.62	76880917	76881217
chr17	87424058	87425067	1010	667	35	203.03	18.76	2.62	87424575	87424875
chr11	69571482	69572333	852	269	37	202.93	16.44	2.61	69571601	69571901
chr2	65962372	65963549	1178	784	42	202.88	16.13	2.61	65963006	65963306
chr14	22318317	22320427	2111	818	61	202.87	12.64	2.61	22318985	22319285
chr5	66154372	66155036	665	332	27	202.76	25.6	2.61	66154554	66154854
chr4	137343511	137344002	492	170	31	202.56	31.25	2.61	137343531	137343831
chr19	40968520	40969710	1191	647	48	202.51	14.67	2.6	40969017	40969317
chr1	167647572	167648457	886	457	39	202.5	17.46	2.6	167647879	167648179
chr10	80138590	80139684	1095	779	43	202.49	15.89	2.6	80139219	80139519
chr11	79091969	79092658	690	319	33	202.42	26.66	2.6	79092138	79092438
chr19	43514784	43515956	1173	949	39	202.14	13.04	2.6	43515583	43515883
chr1	43418199	43418865	667	263	36	202.06	17.81	2.59	43418312	43418612
chr2	25227220	25228578	1359	360	43	202.06	19.13	2.6	25227430	25227730
chr5	64550710	64551883	1174	469	45	202.05	15.38	2.59	64551029	64551329
chr2	121781288	121782023	736	346	28	202.01	32	2.59	121781484	121781784
chr8	71612367	71613026	660	201	29	201.83	27.93	2.59	71612418	71612718
chr2	130665048	130666293	1246	851	39	201.7	20.17	2.59	130665749	130666049
chr2	162879979	162881314	1336	1120	54	201.6	13.75	2.58	162880949	162881249
chr3	52247588	52248415	828	321	35	201.59	19.37	2.58	52247759	52248059
chr1	84835009	84836467	1459	277	50	201.57	23.22	2.58	84835136	84835436
chr11	61123132	61125081	1950	782	75	201.55	9.53	2.58	61123764	61124064
chr13	100114303	100115026	724	417	32	201.54	20.95	2.58	100114570	100114870
chr9	114842381	114843523	1143	683	40	201.49	16.92	2.65	114842914	114843214
chr10	79754978	79755661	684	180	34	201.46	24.44	2.64	79755008	79755308
chr7	87337027	87337859	833	620	37	201.3	13.44	2.71	87337497	87337797
chr15	11925079	11926035	957	737	34	201.28	20.17	2.71	11925666	11925966
chr8	3711588	3712166	579	298	27	201.28	23.83	2.71	3711736	3712036
chr16	32099239	32100305	1067	758	38	201.24	25.04	2.78	32099847	32100147
chr18	24201319	24201869	551	249	37	201.24	21.82	2.78	24201418	24201718
chr3	95558377	95559136	760	543	38	201.24	23.41	2.78	95558770	95559070
chr14	32482196	32483584	1389	462	55	201.22	15.58	2.77	32482508	32482808
chr17	66120325	66121107	783	492	36	201.19	20.78	2.77	66120667	66120967
chr6	66845977	66847020	1044	696	37	201.19	14.67	2.77	66846523	66846823
chr16	11134208	11135097	890	625	33	201.09	20.17	2.77	11134683	11134983
chr19	4397542	4398431	890	454	33	201.09	18.33	2.77	4397846	4398146
chr3	33698560	33699518	959	542	31	201.03	17.07	2.76	33698952	33699252
chr6	91465385	91466345	961	439	45	200.86	12.83	2.76	91465674	91465974
chr11	114560674	114561480	807	435	38	200.82	23.33	2.76	114560959	114561259
chr8	124113904	124114927	1024	345	36	200.82	19.13	2.76	124114099	124114399
chr4	126430404	126431696	1293	262	48	200.8	10.78	2.76	126430516	126430816
chr14	31454752	31455465	714	391	36	200.76	23.33	2.75	31454993	31455293
chr2	32822137	32823143	1007	514	46	200.73	13.75	2.75	32822501	32822801
chr9	107774847	107775507	661	240	31	200.7	20.53	2.75	107774937	107775237
chr11	54679529	54680712	1184	359	44	200.66	16.56	2.75	54679738	54680038
chr16	10769625	10770328	704	268	37	200.63	20.79	2.75	10769743	10770043
chr9	103266968	103268668	1701	791	52	200.51	12.22	2.74	103267609	103267909
chr10	92622921	92624321	1401	343	46	200.48	16	2.74	92623114	92623414
chr16	29660629	29661773	1145	827	44	200.44	19.19	2.74	29661306	29661606
chr5	152453056	152454033	978	772	45	200.44	23.56	2.74	152453678	152453978
chr6	146345706	146346891	1186	843	44	200.44	16.15	2.74	146346399	146346699
chr7	38803724	38804844	1121	857	34	200.43	19.2	2.73	38804431	38804731
chr17	35997944	35998897	954	696	38	200.38	14.4	2.73	35998490	35998790
chr14	65995272	65995895	624	235	29	200.3	32.59	2.73	65995357	65995657
chr2	167629934	167630998	1065	620	51	200.21	17.92	2.73	167630404	167630704
chr9	13630736	13632897	2162	221	67	200.18	7.4	2.73	13630807	13631107
chr17	3114576	3115927	1352	328	38	200.17	20.95	2.73	3114754	3115054
chr4	55527499	55528431	933	403	37	200.15	17.65	2.72	55527752	55528052
chr5	137345307	137346155	849	378	40	200.05	13.49	2.72	137345535	137345835
chr8	96737902	96738901	1000	363	40	200.05	18.33	2.72	96738115	96738415
chr9	114661809	114662773	965	424	40	200.05	18.87	2.72	114662083	114662383
chr11	115885161	115886048	888	377	35	199.99	19.07	2.72	115885388	115885688
